scenario,row_arm,seed,budget_multiplier,kernel_weight,leverage,leverage_gain,leverage_relative_gain
synthetic_interaction,not_applicable,71,16.0,0.02347187360441777,0.02635776245053418,-0.0028858888461164092,-0.12295093671487904
synthetic_interaction,not_applicable,101,2.0,0.2846135313660074,0.6641818039438767,-0.3795682725778693,-1.3336269388040864
synthetic_interaction,not_applicable,101,4.0,0.08570920512285707,0.5099678472568793,-0.4242586421340222,-4.949977561055227
synthetic_interaction,not_applicable,101,8.0,0.05300780923031473,0.04045735800637445,0.01255045122394028,0.23676608043561212
synthetic_interaction,not_applicable,101,16.0,0.030751098755016505,0.02584108303691453,0.004910015718101974,0.15966960261219904
synthetic_interaction,not_applicable,127,2.0,0.3604917813817557,0.31219504053210206,0.04829674084965363,0.1339745962155738
synthetic_interaction,not_applicable,127,4.0,0.10588130793530526,0.13365326470076003,-0.02777195676545477,-0.26229329148846336
synthetic_interaction,not_applicable,127,8.0,0.07808457717555857,0.046942100373066856,0.031142476802491714,0.3988300625932017
synthetic_interaction,not_applicable,127,16.0,0.03096187533293992,0.036607761694489024,-0.005645886361549106,-0.18234962517087988
synthetic_interaction,not_applicable,151,2.0,0.18024589069087146,0.22498040014805218,-0.044734509457180716,-0.24818601570175097
synthetic_interaction,not_applicable,151,4.0,0.1287343787135613,0.07333207671553237,0.05540230199802894,0.43036135763936906
synthetic_interaction,not_applicable,151,8.0,0.04655013204636994,0.04524838217915595,0.001301749867213986,0.027964472064596405
synthetic_interaction,not_applicable,151,16.0,0.018626371378186596,0.027396894875558436,-0.00877052349737184,-0.47086592011383543
synthetic_interaction,not_applicable,181,2.0,0.18024589069087602,0.8454281663398857,-0.6651822756490097,-3.690415759823372
synthetic_interaction,not_applicable,181,4.0,0.13703575237641194,0.07833779565942936,0.05869795671698258,0.4283404564069537
synthetic_interaction,not_applicable,181,8.0,0.04647906084486716,0.044195864840172655,0.002283196004694503,0.04912310970127195
synthetic_interaction,not_applicable,181,16.0,0.04832646628174964,0.03591514517692793,0.01241132110482171,0.25682244243686425
