run_key,status,scenario,row_arm,seed,budget_multiplier,requested_model_evaluations,model_evaluations,coalition_policy,shap_mse,shap_relative_l2_error,full_kernel_loss,full_kernel_excess_loss,efficiency_residual,condition_number,explanation_drift_vs_full_rows,downstream_rmse,row_gram_relative_error,row_budget_exact,runtime_seconds
diabetes_hist_gradient_boosting|D2_robust_leverage_ipw|seed=127|budget=2|leverage,completed,diabetes_hist_gradient_boosting,D2_robust_leverage_ipw,127,2.0,20,20,leverage,2.7195782492268077e-26,6.3215690974377e-15,50.2024653035207,1.4210854715202004e-14,1.4210854715202004e-13,8.291240468813585e+17,1.077235024403811,70.45191472455178,0.19261061837854296,True,0.009828999998717336
diabetes_hist_gradient_boosting|D2_robust_leverage_ipw|seed=127|budget=4|kernel_weight,completed,diabetes_hist_gradient_boosting,D2_robust_leverage_ipw,127,4.0,40,40,kernel_weight,8.270023299884477e-28,1.1023702298378027e-15,50.20246530352068,0.0,5.684341886080802e-14,4.036836430047242e+16,1.077235024403811,70.45191472455178,0.19261061837854296,True,0.009569499998178799
diabetes_hist_gradient_boosting|D2_robust_leverage_ipw|seed=127|budget=4|leverage,completed,diabetes_hist_gradient_boosting,D2_robust_leverage_ipw,127,4.0,40,40,leverage,4.101682276696651e-28,7.763456391463558e-16,50.20246530352067,0.0,2.842170943040401e-14,2.2368550588021236e+16,1.077235024403811,70.45191472455178,0.19261061837854296,True,0.011273600001004525
diabetes_hist_gradient_boosting|D2_robust_leverage_ipw|seed=127|budget=8|kernel_weight,completed,diabetes_hist_gradient_boosting,D2_robust_leverage_ipw,127,8.0,80,80,kernel_weight,9.544822522721633e-28,1.1842899355286295e-15,50.20246530352068,0.0,0.0,1.7014491647929274e+16,1.077235024403811,70.45191472455178,0.19261061837854296,True,0.010184399998252047
diabetes_hist_gradient_boosting|D2_robust_leverage_ipw|seed=127|budget=8|leverage,completed,diabetes_hist_gradient_boosting,D2_robust_leverage_ipw,127,8.0,80,80,leverage,1.090797416694354e-27,1.2660363061954404e-15,50.20246530352068,0.0,5.684341886080802e-14,6.111319050572855e+16,1.077235024403811,70.45191472455178,0.19261061837854296,True,0.013151399998605484
diabetes_hist_gradient_boosting|D2_robust_leverage_ipw|seed=127|budget=16|kernel_weight,completed,diabetes_hist_gradient_boosting,D2_robust_leverage_ipw,127,16.0,160,160,kernel_weight,1.3978220810063719e-27,1.433177753089963e-15,50.20246530352067,0.0,0.0,5.81982488942311e+16,1.077235024403811,70.45191472455178,0.19261061837854296,True,0.012382500000967411
diabetes_hist_gradient_boosting|D2_robust_leverage_ipw|seed=127|budget=16|leverage,completed,diabetes_hist_gradient_boosting,D2_robust_leverage_ipw,127,16.0,160,160,leverage,3.7640498092620577e-28,7.437068654665553e-16,50.2024653035207,1.4210854715202004e-14,0.0,3.026656681000646e+18,1.077235024403811,70.45191472455178,0.19261061837854296,True,0.012083699999493547
synthetic_interaction|not_applicable|seed=151|budget=2|kernel_weight,completed,synthetic_interaction,not_applicable,151,2.0,20,20,kernel_weight,0.05104166666666382,0.18024589069087146,0.8624999999999989,0.05104166666666554,5.329070518200751e-15,2.6648321618155504e+16,0.0,,,True,0.0024156999970728066
synthetic_interaction|not_applicable|seed=151|budget=2|leverage,completed,synthetic_interaction,not_applicable,151,2.0,20,20,leverage,0.07952130016653429,0.22498040014805218,0.8909796334998688,0.07952130016653536,3.552713678800501e-15,2.9650836513508044e+16,0.0,,,True,0.002640299997437978
synthetic_interaction|not_applicable|seed=151|budget=4|kernel_weight,completed,synthetic_interaction,not_applicable,151,4.0,40,40,kernel_weight,0.026036534898934517,0.1287343787135613,0.8374948682322683,0.02603653489893487,1.7763568394002505e-15,4.415480744117997e+16,0.0,,,True,0.0024502000014763325
synthetic_interaction|not_applicable|seed=151|budget=4|leverage,completed,synthetic_interaction,not_applicable,151,4.0,40,40,leverage,0.008448547897598647,0.07333207671553237,0.8199068812309314,0.008448547897597969,1.7763568394002505e-15,8.611074083412302e+17,0.0,,,True,0.002641899998707231
synthetic_interaction|not_applicable|seed=151|budget=8|kernel_weight,completed,synthetic_interaction,not_applicable,151,8.0,80,80,kernel_weight,0.0034043635888237264,0.04655013204636994,0.8148626969221566,0.0034043635888232338,1.7763568394002505e-15,1.2033374841429522e+17,0.0,,,True,0.0025197000031766947
