regime,snr,budget_ratio,arm,runs,mean_gain,median_gain,worst_gain,win_rate,mean_fit_seconds,mean_detected_spikes,mean_expert_count,mean_routing_entropy,mean_oracle_gap
heteroskedastic,0.5,0.05,B2_bulk_multi_spike,5,-0.925898040340897,-0.9096528212560597,-1.262332892849226,0.0,0.00035803999999970413,0.4,1.0,0.0,0.0
heteroskedastic,0.5,0.05,B3_validation_selected,5,0.0,0.0,0.0,0.0,0.0014072800000000996,0.4,3.0,1.042988066174281,0.35079099210356984
heteroskedastic,0.5,0.1,B0_standard_A9,5,0.0,0.0,0.0,0.0,0.0014460599999999602,0.4,3.0,1.049713678834698,0.381710582642651
heteroskedastic,0.5,0.1,B1_bulk_single_spike,5,-0.20909484510454454,-0.18964454037092912,-0.5071038511670235,0.2,0.0004072800000002985,0.4,1.0,0.0,0.0
heteroskedastic,0.5,0.1,B2_bulk_multi_spike,5,-0.14441219448175444,-0.1270616705414876,-0.3169067651296695,0.0,0.00040105999999866525,0.4,1.0,0.0,0.0
heteroskedastic,0.5,0.1,B3_validation_selected,5,0.0,0.0,0.0,0.0,0.0014460599999999602,0.4,3.0,1.049713678834698,0.381710582642651
heteroskedastic,0.5,0.2,B0_standard_A9,5,0.0,0.0,0.0,0.0,0.0013792200000004584,0.4,3.0,1.0742459291823345,0.2664081397029211
heteroskedastic,0.5,0.2,B1_bulk_single_spike,5,0.15027311479664118,0.14511228193176923,0.0345617508980491,1.0,0.0003825599999998985,0.4,1.0,0.0,0.0
heteroskedastic,0.5,0.2,B2_bulk_multi_spike,5,0.1178262937361672,0.12282816692047675,0.00841397584589732,1.0,0.00040204000000017005,0.4,1.0,0.0,0.0
heteroskedastic,0.5,0.2,B3_validation_selected,5,0.17088449346697354,0.14511228193176923,0.10359085810591166,1.0,0.0004097600000001478,0.4,1.0,0.0,0.0
heteroskedastic,1.0,0.05,B0_standard_A9,5,0.0,0.0,0.0,0.0,0.0013589999999986447,0.6,3.0,1.0746367807147919,0.31036967484948585
heteroskedastic,1.0,0.05,B1_bulk_single_spike,5,-0.595521603824164,-0.5312561390686109,-0.9562387940096911,0.0,0.0003678000000000736,0.6,1.0,0.0,0.0
heteroskedastic,1.0,0.05,B2_bulk_multi_spike,5,-0.7949053485777837,-0.7815010889364492,-1.2921948654989102,0.0,0.0003671000000011304,0.6,1.0,0.0,0.0
heteroskedastic,1.0,0.05,B3_validation_selected,5,0.0,0.0,0.0,0.0,0.0013589999999986447,0.6,3.0,1.0746367807147919,0.31036967484948585
heteroskedastic,1.0,0.1,B0_standard_A9,5,0.0,0.0,0.0,0.0,0.0013358999999994125,0.6,3.0,1.0420317882572454,0.39229716360143013
heteroskedastic,1.0,0.1,B1_bulk_single_spike,5,-0.26216569679621177,-0.21476085168352588,-0.5870837855193434,0.0,0.0003740800000002764,0.6,1.0,0.0,0.0
heteroskedastic,1.0,0.1,B2_bulk_multi_spike,5,-0.2929816812481296,-0.20259732340036601,-0.5933474436573727,0.0,0.00035770000000141523,0.6,1.0,0.0,0.0
heteroskedastic,1.0,0.1,B3_validation_selected,5,0.0,0.0,0.0,0.0,0.0013358999999994125,0.6,3.0,1.0420317882572454,0.39229716360143013
heteroskedastic,1.0,0.2,B0_standard_A9,5,0.0,0.0,0.0,0.0,0.0013892200000007904,0.6,3.0,1.0807867235387678,0.34334835859599605
heteroskedastic,1.0,0.2,B1_bulk_single_spike,5,0.1648393921238146,0.20985689499344778,-0.07582112817420876,0.8,0.00038380000000017846,0.6,1.0,0.0,0.0
heteroskedastic,1.0,0.2,B2_bulk_multi_spike,5,0.09300683253925121,0.1257952793494125,-0.050564377411154396,0.8,0.00043666000000044394,0.6,1.0,0.0,0.0
heteroskedastic,1.0,0.2,B3_validation_selected,5,0.13843010302093472,0.20861217819993075,-0.050564377411154396,0.6,0.000573080000000914,0.6,1.4,0.216733220135667,0.06753983059595424
heteroskedastic,2.0,0.05,B0_standard_A9,5,0.0,0.0,0.0,0.0,0.0013703999999997052,1.0,3.0,1.0026541998469845,0.37590370326508005
heteroskedastic,2.0,0.05,B1_bulk_single_spike,5,-0.44660866386847503,-0.37372180152355466,-0.8652617895609118,0.0,0.000506660000000636,1.0,1.4,0.04482746199034332,0.08019110456587628
heteroskedastic,2.0,0.05,B2_bulk_multi_spike,5,-0.6352999376017786,-0.6249173880669808,-1.1947810558894554,0.0,0.0004901400000008494,1.0,1.4,0.04482746199034332,0.07247883023177983
heteroskedastic,2.0,0.05,B3_validation_selected,5,0.0,0.0,0.0,0.0,0.0013703999999997052,1.0,3.0,1.0026541998469845,0.37590370326508005
heteroskedastic,2.0,0.1,B0_standard_A9,5,0.0,0.0,0.0,0.0,0.0013549400000002266,1.0,3.0,0.9884366025710201,0.35327754142555645
heteroskedastic,2.0,0.1,B1_bulk_single_spike,5,-0.29972760708831725,-0.09924013021038149,-1.0417216723189686,0.0,0.000526479999999907,1.0,1.4,0.04482746199034332,0.09767209324092288
