dataset,problem_type,seed,budget_ratio,model,row_arm_id,selection_method,training_reweighting,status,selected_geometry_arm,primary_metric,primary_value,rmse,mae,tail_mae,roc_auc,log_loss,n_experts,total_train_rows,ensemble_fit_seconds,sampler_fit_seconds,gram_relative_error_mean,projection_cost_error_mean,principal_angle_max_mean,effective_sample_size_mean,inclusion_probability_min_mean,inclusion_probability_max_mean
bank-marketing__task_359982,classification,29,0.1,lightgbm,R3_robust_mixture_ipw,robust_leverage_mixture,inverse_probability,completed,A6_cosine_negative_control,roc_auc,0.9019517615183849,,,,0.9019517615183849,0.2674363759776711,2,3255,82.89953176490963,81.96894661150873,0.0567177982701703,6.588423622842092e-12,1.4574827811144603e-06,1528.1996852565642,0.0500431634919536,0.5969923660290225
bank-marketing__task_359982,classification,29,0.2,lightgbm,R3_robust_mixture_ipw,robust_leverage_mixture,inverse_probability,completed,A6_cosine_negative_control,roc_auc,0.915645858513268,,,,0.915645858513268,0.2382610958592482,2,6510,83.52355384267867,82.59832578711212,0.0305515539664607,6.127368768336116e-12,2.488078739103125e-06,3069.3611486431914,0.1003116755222343,0.6940291628258092
bank-marketing__task_359982,classification,47,0.05,lightgbm,R3_robust_mixture_ipw,robust_leverage_mixture,inverse_probability,completed,A2_median_scaled_euclidean,roc_auc,0.8727229172791515,,,,0.8727229172791515,0.342130052785888,2,1628,60.83743857592344,60.00279604271054,0.0527334630615024,1.4521789002639998e-12,2.545259792216354e-06,710.1573904081073,0.019258540039085,1.0
bank-marketing__task_359982,classification,47,0.1,lightgbm,R3_robust_mixture_ipw,robust_leverage_mixture,inverse_probability,completed,A2_median_scaled_euclidean,roc_auc,0.9007298689530876,,,,0.9007298689530876,0.2738766173160402,2,3255,61.51751457154751,60.62479900568724,0.0323607001744277,1.4077147653910956e-12,2.175091266537212e-06,1416.1427946065503,0.0387146567787247,1.0
bank-marketing__task_359982,classification,47,0.2,lightgbm,R3_robust_mixture_ipw,robust_leverage_mixture,inverse_probability,completed,A2_median_scaled_euclidean,roc_auc,0.916073355214726,,,,0.916073355214726,0.2384656117778315,2,6510,62.383253540843725,61.304916774854064,0.0238505838656327,3.968523088833693e-13,1.4574827811144603e-06,2865.368474711639,0.0785377355513631,1.0
covertype__task_7593,classification,11,0.05,lightgbm,R3_robust_mixture_ipw,robust_leverage_mixture,inverse_probability,completed,A2_median_scaled_euclidean,log_loss,0.7552453085612661,,,,,0.7552453085612661,3,2000,62.08227499574423,57.05928925797343,0.0218097765182915,1.4002318747816177e-12,1.3893228847796576e-06,592.426691263724,0.0201769778868366,0.3927361485628128
covertype__task_7593,classification,11,0.1,lightgbm,R3_robust_mixture_ipw,robust_leverage_mixture,inverse_probability,completed,A2_median_scaled_euclidean,log_loss,0.6838797171425312,,,,,0.6838797171425312,3,4000,62.61312516778708,57.02435262314975,0.0143872322968652,6.970122709785345e-13,1.6483567823731274e-06,1187.752519464717,0.0404002893151399,0.645439398695776
covertype__task_7593,classification,11,0.2,lightgbm,R3_robust_mixture_ipw,robust_leverage_mixture,inverse_probability,completed,A6_cosine_negative_control,log_loss,0.5844102566806166,,,,,0.5844102566806166,3,8000,63.43439696915448,57.42617353238165,0.0107872743952578,3.901193012393805e-13,2.019243275192537e-06,2366.979366152625,0.0808543349594359,0.957137096529786
covertype__task_7593,classification,29,0.05,lightgbm,R3_robust_mixture_ipw,robust_leverage_mixture,inverse_probability,completed,A2_median_scaled_euclidean,log_loss,0.8588657604760956,,,,,0.8588657604760956,2,2000,66.53711389936507,62.64014538191259,0.0134306847273123,4.541787024126527e-12,1.649364029438803e-06,901.9572151839818,0.018950443039969,0.4952142864564937
covertype__task_7593,classification,29,0.1,lightgbm,R3_robust_mixture_ipw,robust_leverage_mixture,inverse_probability,completed,A2_median_scaled_euclidean,log_loss,0.6962519103171756,,,,,0.6962519103171756,2,4000,68.7699832264334,64.71802445314825,0.0131223581758741,5.821524180858976e-12,2.326315363953327e-06,1798.1213073459455,0.0379548410130358,0.9276196241100512
covertype__task_7593,classification,29,0.2,lightgbm,R3_robust_mixture_ipw,robust_leverage_mixture,inverse_probability,completed,A6_cosine_negative_control,log_loss,0.5647518217370795,,,,,0.5647518217370795,2,8000,67.09948593564332,62.96221479959786,0.0088780469514481,4.8314091675529295e-12,2.0913097891518726e-06,3590.574420244153,0.0759771060259653,1.0
covertype__task_7593,classification,47,0.05,lightgbm,R3_robust_mixture_ipw,robust_leverage_mixture,inverse_probability,completed,A6_cosine_negative_control,log_loss,0.8355893236355348,,,,,0.8355893236355348,2,2000,71.13246307708323,67.11173804849386,0.0258076227400201,5.7042949550693874e-12,2.0002028497841475e-06,908.5582901864312,0.0218677470332623,0.5229115289412709
covertype__task_7593,classification,47,0.1,lightgbm,R3_robust_mixture_ipw,robust_leverage_mixture,inverse_probability,completed,A6_cosine_negative_control,log_loss,0.677619688049697,,,,,0.677619688049697,2,4000,71.75828757882118,67.71587474830449,0.0153550906574245,3.801429098642309e-12,2.4148365394514667e-06,1815.9674997430225,0.0436692340263252,0.9365625428642056
