dataset,problem_type,budget_ratio,row_arm_id,selection_method,training_reweighting,runs,primary_value_mean,primary_gain_mean,primary_gain_median,tail_gain_mean,gram_error_mean,projection_cost_error_mean,effective_sample_size_mean,fit_time_seconds_mean,fit_time_ratio_mean
covertype__task_7593,classification,0.1,R1_capped_incumbent,capped_leverage,none,3,0.6950043470566979,-0.020898432420666663,-0.022166256986883397,,0.016876688418942933,5.9615892947611455e-12,1777.7777777777776,67.2274767961353,1.0108974086812879
covertype__task_7593,classification,0.1,R2_robust_mixture,robust_leverage_mixture,none,3,0.682488010969626,-0.002564599179549503,-0.002033623566446526,,0.014288227043387933,3.4399885168266067e-12,1777.7777777777776,72.66936507013936,1.089301335303948
covertype__task_7593,classification,0.1,R3_robust_mixture_ipw,robust_leverage_mixture,inverse_probability,3,0.6859171051698012,-0.007661907272950602,0.0034702132856610037,,0.014288227043387933,3.4399885168266067e-12,1600.613775517895,67.71379865768056,1.018557534376138
covertype__task_7593,classification,0.1,R4_ridge_leverage_ipw,saturated_ridge_leverage,inverse_probability,3,0.7096626190310632,-0.04233811816700591,-0.03575219862944819,,0.0146570363230297,3.828836563585137e-12,1417.0261540993904,70.51199827405314,1.0646001575344746
covertype__task_7593,classification,0.2,R0_uniform,uniform,none,3,0.5584871223866529,0.0,0.0,,0.008529473674558733,2.260442491118508e-12,3555.555555555555,66.98990241003533,1.0
covertype__task_7593,classification,0.2,R1_capped_incumbent,capped_leverage,none,3,0.5699776613836778,-0.02075423253294413,-0.014972511436423893,,0.008954862413963734,1.3365092372750684e-12,3555.555555555555,68.47735545908411,1.0212411949398996
covertype__task_7593,classification,0.2,R2_robust_mixture,robust_leverage_mixture,none,3,0.5708088285927685,-0.02202553992389838,-0.024710181015811555,,0.009687553646983232,4.225941046904946e-12,3555.555555555555,68.24742414678137,1.0182161056344485
covertype__task_7593,classification,0.2,R3_robust_mixture_ipw,robust_leverage_mixture,inverse_probability,3,0.5728108521114147,-0.025617867981852588,-0.024854341419092714,,0.009687553646983232,4.225941046904946e-12,3198.3915565141356,67.39545546285808,1.0059235826019954
covertype__task_7593,classification,0.2,R4_ridge_leverage_ipw,saturated_ridge_leverage,inverse_probability,3,0.6164916960093515,-0.10289916898789014,-0.04303152729425802,,0.009943697260407067,4.19998131028122e-12,2828.8411237811015,78.53365556212763,1.1729954868065673
diamonds__task_233211,regression,0.05,R0_uniform,uniform,none,3,790.6659701069963,0.0,0.0,0.0,0.06256263066651196,1.3417167213268778e-12,971.0,71.78953889136513,1.0
